Date,Open,High,Low,Close,Adj Close,Volume
2023-01-01,45.750000,47.689999,45.540001,47.310001,46.847954,70122400
2023-01-08,47.889999,50.230000,47.200001,49.919998,49.432461,90643900
2023-01-15,49.860001,51.110001,48.470001,51.090000,50.591034,81971900
2023-01-22,51.049999,52.290001,50.419998,51.860001,51.353516,93240700
2023-01-29,51.439999,53.230000,50.529999,50.950001,50.452404,110443800
2023-02-05,50.400002,51.759998,49.150002,50.110001,50.110001,77070100
2023-02-12,49.990002,51.880001,49.919998,51.419998,51.419998,58822500
2023-02-19,50.740002,50.910000,49.369999,50.180000,50.180000,64428700
2023-02-26,50.500000,52.389999,50.250000,52.349998,52.349998,77062900
2023-03-05,52.360001,52.450001,47.130001,48.340000,48.340000,115722300
2023-03-12,47.000000,47.990002,43.700001,44.250000,44.250000,200681200
2023-03-19,44.709999,46.020000,42.009998,43.110001,43.110001,132974000
2023-03-24,42.840000,43.119999,42.009998,43.110001,43.110001,25336543
