Date,Open,High,Low,Close,Adj Close,Volume
2023-01-01,3.150000,3.320000,3.100000,3.280000,3.280000,73264500
2023-01-08,3.350000,3.530000,3.330000,3.440000,3.440000,82056000
2023-01-15,3.490000,3.630000,3.280000,3.460000,3.460000,91212300
2023-01-22,3.430000,3.580000,3.380000,3.560000,3.560000,97109900
2023-01-29,3.520000,3.760000,3.420000,3.560000,3.560000,116990900
2023-02-05,3.500000,3.630000,3.000000,3.140000,3.140000,156584000
2023-02-12,3.040000,3.140000,2.970000,3.020000,3.020000,138724700
2023-02-19,2.900000,3.070000,2.900000,3.000000,3.000000,102972800
2023-02-26,3.080000,3.110000,2.700000,3.030000,3.030000,89113200
2023-03-05,2.990000,3.010000,2.610000,2.660000,2.660000,107402800
2023-03-12,2.440000,2.590000,1.750000,2.010000,2.010000,880645400
2023-03-19,0.910000,1.080000,0.820000,0.860000,0.860000,831366800
2023-03-24,0.820700,0.864000,0.820700,0.861200,0.861200,62982382
