Date,Open,High,Low,Close,Adj Close,Volume
2023-01-01,41.610001,43.060001,41.450001,42.799999,42.528713,62515600
2023-01-08,43.119999,44.360001,40.459999,44.220001,43.939713,120436600
2023-01-15,43.840000,44.610001,42.520000,43.919998,43.641613,87554400
2023-01-22,43.939999,46.369999,43.869999,46.119999,45.827667,85560900
2023-01-29,45.910000,48.040001,45.810001,47.580002,47.278416,100547300
2023-02-05,47.259998,48.630001,46.980000,47.509998,47.509998,92075300
2023-02-12,47.340000,48.840000,47.020000,47.490002,47.490002,72245600
2023-02-19,47.070000,47.070000,45.689999,46.619999,46.619999,57879500
2023-02-26,46.939999,47.430000,45.380001,46.849998,46.849998,81539100
2023-03-05,46.880001,47.180000,39.730000,41.360001,41.360001,142163700
2023-03-12,39.799999,41.599998,37.529999,37.759998,37.759998,266729200
2023-03-19,38.119999,38.959999,35.250000,36.230000,36.230000,157877500
2023-03-24,36.000000,36.480000,35.250000,36.230000,36.230000,35703105
